ID_register	ID_sp	Group	order	family	genus	binomial	body_mass	body_length	tail_length	forearm	age	sex	reproductive_stage	status	longitude	latitude	year	collector_name
9007	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9008	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	39	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9009	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9010	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	12	NA	NA	38.5	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9011	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9012	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	13	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9013	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9014	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9015	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	13	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9016	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	38.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9017	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	10	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9018	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	11	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9019	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9020	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	13	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
