ID_register	ID_sp	Group	order	family	genus	binomial	body_mass	body_length	tail_length	forearm	age	sex	reproductive_stage	status	longitude	latitude	year	collector_name
9037	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9038	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9039	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	13	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9040	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9041	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9042	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9043	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9046	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	38	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9047	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9048	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9049	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
