"long","lat","year"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2014"
-42.631058,-19.764111,"2016"
-42.631058,-19.764111,"2015"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
